name,link
Counter-Strike: Global Offensive,https://store.steampowered.com/app/730/CounterStrike_Global_Offensive/
Dota 2,https://store.steampowered.com/app/570/Dota_2/
PLAYERUNKNOWN'S BATTLEGROUNDS,https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/
Destiny 2,https://store.steampowered.com/app/1085660/Destiny_2/
Grand Theft Auto V,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/
Apex Legends,https://store.steampowered.com/app/1172470/Apex_Legends/
Among Us,https://store.steampowered.com/app/945360/Among_Us/
Team Fortress 2,https://store.steampowered.com/app/440/Team_Fortress_2/
PAYDAY 2,https://store.steampowered.com/app/218620/PAYDAY_2/
Wallpaper Engine,https://store.steampowered.com/app/431960/Wallpaper_Engine/
ARK: Survival Evolved,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/
Tom Clancy's Rainbow Six Siege,https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/
Rust,https://store.steampowered.com/app/252490/Rust/
Rocket League,https://store.steampowered.com/app/252950/Rocket_League/
Warframe,https://store.steampowered.com/app/230410/Warframe/
Football Manager 2021,https://store.steampowered.com/app/1263850/Football_Manager_2021/
Dead by Daylight,https://store.steampowered.com/app/381210/Dead_by_Daylight/
Sid Meier's Civilization VI,https://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/
Terraria,https://store.steampowered.com/app/105600/Terraria/
War Thunder,https://store.steampowered.com/app/236390/War_Thunder/
